Table	number_of_AS-AS_relationships	percent_invalid_AS-AS_relationship	percent_indirect_AS-AS_relationship	number_of_CT-CT_relationships	percent_invalid_CT-CT_relationship	percent_indirect_CT-CT_relationship	number_of_CT-AS_relationships	percent_invalid_CT-AS_relationship
Bone-Marrow	0	0	0	38	39.47	60.87	40	92.5
Blood	0	0	0	23	26.09	76.47	23	100.0
Brain	112	29.46	50.63	0	0	0	127	0.0
Eye	35	31.43	62.5	23	21.74	33.33	35	62.86
Fallopian_tube	7	42.86	0.0	0	0	0	0	0
Heart	37	56.76	62.5	0	0	0	137	86.86
Kidney	71	33.8	40.43	0	0	0	63	30.16
Knee	22	63.64	37.5	6	83.33	0.0	13	92.31
Large_intestine	158	87.34	45.0	0	0	0	152	83.55
Liver	13	61.54	20.0	0	0	0	26	84.62
Lung	76	51.32	21.62	85	21.18	47.76	92	48.91
Lymph_node	41	56.1	33.33	0	0	0	82	79.27
Lymph_vasculature	7	71.43	50.0	0	0	0	14	92.86
Ovary	19	68.42	16.67	0	0	0	12	83.33
Pancreas	33	66.67	27.27	17	41.18	10.0	28	82.14
Placenta	16	62.5	33.33	0	0	0	26	73.08
Peripheral_nervous_system	31	12.9	51.85	0	0	0	30	83.33
Prostate	3	33.33	0.0	0	0	0	7	71.43
Skin	16	50.0	37.5	0	0	0	51	82.35
Small_intestine	18	11.11	31.25	0	0	0	50	88.0
Spleen	29	41.38	29.41	0	0	0	95	92.63
Thymus	29	75.86	57.14	0	0	0	64	73.44
Ureter	9	33.33	83.33	0	0	0	3	100.0
Urinary_bladder	15	13.33	0.0	0	0	0	5	80.0
Uterus	20	35.0	46.15	0	0	0	0	0
Blood_vasculature	337	0.0	34.42	6	33.33	0.0	1136	66.55
