defined_class	defined_class_label	cell	anatomical_entity	pubs
CL:6000011		CL:0000057	UBERON:0012399	DOI:10.1007/978-1-4939-0897-4_3|PMID:24997029	
CL:6000012		CL:0000057	UBERON:0012398	DOI:10.1007/978-1-4939-0897-4_3|PMID:24997029
CL:6000013		CL:0000057	UBERON:0007177	DOI:10.1111/j.1440-1827.1989.tb02421.x|DOI:10.1034/j.1600-065x.2003.00072.x|PMID:2618659|PMID:12969318
CL:6000014		CL:0000165	UBERON:0007177	DOI:10.1111/j.1440-1827.1989.tb02421.x|DOI:10.1034/j.1600-065x.2003.00072.x|PMID:2618659|PMID:12969318
CL:6000015		CL:0000165	UBERON:0011184	DOI:10.1159/000501521|PMID:31390635|PMCID:PMC6888884
CL:6000016		CL:0000186	UBERON:0007177	DOI:10.1111/j.1440-1827.1989.tb02421.x|DOI:10.1034/j.1600-065x.2003.00072.x|PMID:2618659|PMID:12969318
CL:6000018		CL:0000523	UBERON:0000088	DOI:10.1016/S0143-4004(05)80438-2|DOI:10.1016/S0143-4004(05)80438-2|DOI:10.1016/j.ajpath.2014.08.006|DOI:10.1016/j.jim.2003.03.001|DOI:10.1053/plac.2000.0559|DOI:10.1095/biolreprod.106.055244
CL:6000020		CL:0002144	UBERON:0007177	DOI:10.1111/j.1440-1827.1989.tb02421.x|DOI:10.1034/j.1600-065x.2003.00072.x|PMID:2618659|PMID:12969318
CL:6000021		CL:0002573	UBERON:0005304	PMID:2621148|PMCID:PMC1256735
CL:6000022		CL:0002573	UBERON:0007177	DOI:10.1111/j.1440-1827.1989.tb02421.x|DOI:10.1034/j.1600-065x.2003.00072.x|PMID:2618659|PMID:12969318
CL:6000023		CL:0002573	UBERON:0012398	DOI:10.1007/978-1-4939-0897-4_3|PMID:24997029
CL:6000024		CL:0002573	UBERON:0012399	DOI:10.1007/978-1-4939-0897-4_3|PMID:24997029
CL:6000025		CL:0008036	UBERON:0000088	DOI:10.1016/0198-8859(93)90138-Q|DOI:10.1016/j.jim.2003.03.001|DOI:10.1053/plac.2000.0559|DOI:10.1095/biolreprod.106.055244|PMID:8804361|DOI:10.1155/2021/6662201|DOI:10.1093/humrep/dem265|DOI:10.1242/dev.148932|PMID:8804361
CL:6000026		CL:0009009	UBERON:0011184	DOI:10.1016/j.humpath.2008.12.003|PMID:19269007
CL:6000027		CL:0009011	UBERON:0011184	DOI:10.1038/s42003-020-01181-z|PMID:32814826|PMCID:PMC7438495
CL:6000028		CL:0019032	UBERON:0011184	DOI:10.1038/s42003-020-01181-z|DOI:10.1038/s41598-019-53997-3|DOI:10.4049/jimmunol.1801069|PMID:32814826|PMCID:PMC7438495|PMID:31767912|PMCID:PMC6877571|PMID:30782851|PMCID:PMC6383804
CL:6000029		CL:1000279	UBERON:0012398	DOI:10.1007/978-1-4939-0897-4_3|PMID:24997029
CL:6000030		CL:1000279	UBERON:0012399	DOI:10.1007/978-1-4939-0897-4_3|PMID:24997029
CL:6000031		CL:1000412	UBERON:0012399	DOI:10.1007/978-1-4939-0897-4_3|PMID:24997029
CL:6000032		CL:1000412	UBERON:0012398	DOI:10.1007/978-1-4939-0897-4_3|PMID:24997029
CL:6000033		CL:1000414	UBERON:0012399	DOI:10.1007/978-1-4939-0897-4_3|PMID:24997029
CL:6000034		CL:1000414	UBERON:0012398	DOI:10.1007/978-1-4939-0897-4_3|PMID:24997029
