ID	Label	Parent_class	OBO_Validated_isa	validation_date_isa	part_of	OBO_Validated_po	validation_date_po
ID	LABEL	SC %	>A CCFH:IN_OBO	>A dc:date	SC part_of some %	>A CCFH:IN_OBO	>A dc:date
UBERON:0002351	sinoatrial node						
UBERON:0002078	right cardiac atrium						
UBERON:0002302	myocardium of atrium						
UBERON:0002078	right cardiac atrium						
UBERON:0002049	vasculature						
UBERON:0002078	right cardiac atrium						
UBERON:0035422	circumflex branch of left coronary artery						
UBERON:0011820	atrioventricular region						
UBERON:0005438	coronary sinus						
UBERON:0011820	atrioventricular region						
UBERON:0002352	atrioventricular node						
UBERON:0011820	atrioventricular region						
UBERON:0001625	right coronary artery						
UBERON:0011820	atrioventricular region						
UBERON:0002302	myocardium of atrium						
UBERON:0002079	left cardiac atrium						
UBERON:0002049	vasculature						
UBERON:0002079	left cardiac atrium						
UBERON:0006566	left ventricle myocardium						
UBERON:0002084	heart left ventricle						
UBERON:0002049	vasculature						
UBERON:0002084	heart left ventricle						
UBERON:0002094	interventricular septum						
UBERON:0000948	heart						
UBERON:0002353	atrioventricular bundle						
UBERON:0002094	interventricular septum						
UBERON:0002349	myocardium						
UBERON:0002094	interventricular septum						
UBERON:0006567	right ventricle myocardium						
UBERON:0002080	heart right ventricle						
UBERON:0002049	vasculature						
UBERON:0002080	heart right ventricle						
UBERON:0002080	heart right ventricle						
UBERON:0000948	heart						
UBERON:0002134	Tricuspid valve						
UBERON:0000946	Cardial valve						
UBERON:0002146	Pulmonary Valve						
UBERON:0000946	Cardial valve						
UBERON:0002135	Mitral valve						
UBERON:0000946	Cardial valve						
UBERON:0002137	Aortic valve						
UBERON:0000946	Cardial valve						
UBERON:0002348	epicardium						
UBERON:0000948	heart						
UBERON:0002351							
UBERON:0002302							
UBERON:0002049							
UBERON:0035422							
UBERON:0005438							
UBERON:0002352							
UBERON:0001625							
UBERON:0002302							
UBERON:0002049							
UBERON:0006566					UBERON:0002084	True	2021-02-09T12:04:46.619268
UBERON:0002049							
UBERON:0002094					UBERON:0000948	True	2021-02-09T12:04:47.933446
UBERON:0002353							
UBERON:0002349							
UBERON:0006567					UBERON:0002080	True	2021-02-09T12:04:50.241348
UBERON:0002049							
UBERON:0002080					UBERON:0000948	True	2021-02-09T12:04:51.583564
UBERON:0002134		UBERON:0000946	True	2021-02-09T12:04:52.457798			
UBERON:0002146		UBERON:0000946	True	2021-02-09T12:04:53.365626			
UBERON:0002135		UBERON:0000946	True	2021-02-09T12:04:54.241936			
UBERON:0002137		UBERON:0000946	True	2021-02-09T12:04:55.122498			
UBERON:0002348					UBERON:0000948	True	2021-02-09T12:04:55.589510
